transaction_id,user_id,merchant_id,transaction_time,amount_inr,payment_method,status,risk_score
TXN100428,25,16,20-01-2026 21:45,299,UPI,captured,94
TXN100429,120,35,02-01-2026 12:28,49,UPI,captured,27
TXN100430,258,19,25-01-2026 01:08,49,Wallet,captured,29
TXN100431,164,37,27-01-2026 23:36,799,UPI,captured,76
TXN100432,165,16,25-01-2026 21:52,49,Wallet,captured,38
TXN100433,267,15,29-01-2026 04:42,49,Netbanking,captured,52
TXN100434,286,38,10-01-2026 08:03,299,Wallet,captured,94
TXN100435,348,28,30-01-2026 05:40,499,Card,captured,71
TXN100436,330,25,16-01-2026 01:22,799,UPI,captured,100
TXN100437,214,27,17-01-2026 10:44,299,Card,captured,19
TXN100438,276,31,10-01-2026 12:11,499,UPI,captured,30
TXN100439,74,30,28-01-2026 07:19,49,UPI,captured,7
TXN100440,286,34,18-01-2026 13:26,49,Card,captured,17
TXN100441,105,22,13-01-2026 07:16,4999,UPI,captured,82
TXN100442,190,6,03-01-2026 14:54,799,Wallet,captured,68
TXN100443,138,25,24-01-2026 06:03,299,Wallet,captured,86
TXN100444,38,13,20-01-2026 19:02,4999,Netbanking,captured,97
TXN100445,287,14,19-01-2026 23:42,99,Wallet,captured,61
TXN100446,8,14,07-01-2026 10:19,49,UPI,captured,24
TXN100447,246,16,24-01-2026 03:47,1499,Wallet,captured,89
TXN100448,204,16,20-01-2026 22:13,149,UPI,captured,70
TXN100449,239,35,11-01-2026 09:24,4999,UPI,captured,83
TXN100450,185,33,12-01-2026 09:16,299,UPI,captured,63
TXN100451,241,21,15-01-2026 03:51,299,Card,captured,26
TXN100452,24,37,12-01-2026 10:26,149,UPI,captured,28
TXN100453,134,36,24-01-2026 04:01,1499,UPI,captured,74
TXN100454,152,10,19-01-2026 23:26,499,Wallet,captured,25
TXN100455,292,16,11-01-2026 07:24,499,Netbanking,captured,63
TXN100456,173,17,18-01-2026 20:43,99,Netbanking,captured,97
TXN100457,329,32,27-01-2026 15:46,1499,UPI,captured,58
TXN100458,181,11,06-01-2026 23:50,1499,UPI,captured,17
TXN100459,95,35,24-01-2026 17:31,149,Wallet,captured,82
TXN100460,39,4,02-01-2026 16:02,149,Netbanking,captured,97
TXN100461,323,15,01-01-2026 13:08,499,UPI,captured,8
TXN100462,112,33,23-01-2026 04:00,49,Netbanking,captured,58
TXN100463,327,40,12-01-2026 01:39,99,UPI,captured,61
TXN100464,4,35,22-01-2026 15:01,299,UPI,captured,70
TXN100465,272,18,14-01-2026 00:01,149,UPI,captured,68
TXN100466,346,28,10-01-2026 00:32,499,UPI,captured,22
TXN100467,77,16,04-01-2026 03:33,49,Wallet,captured,24
TXN100468,182,18,20-01-2026 16:16,149,Card,captured,50
TXN100469,236,37,03-01-2026 11:25,299,Card,captured,31
TXN100470,42,3,23-01-2026 07:19,49,UPI,captured,11
TXN100471,283,31,13-01-2026 12:24,299,Netbanking,captured,7
TXN100472,88,6,21-01-2026 00:44,49,UPI,captured,63
TXN100473,170,37,28-01-2026 13:41,99,UPI,failed,12
TXN100474,22,15,29-01-2026 16:58,49,Netbanking,captured,27
TXN100475,291,31,29-01-2026 22:56,49,Netbanking,failed,34
TXN100476,144,35,02-01-2026 02:43,1499,UPI,captured,72
TXN100477,162,2,22-01-2026 01:11,299,Wallet,captured,26
TXN100478,204,5,19-01-2026 04:48,49,UPI,captured,38
TXN100479,291,25,06-01-2026 18:15,99,Wallet,captured,86
TXN100480,197,9,29-01-2026 17:21,49,Wallet,failed,88
TXN100481,178,4,24-01-2026 02:32,1499,UPI,captured,12
TXN100482,39,22,14-01-2026 07:53,799,Netbanking,captured,77
TXN100483,204,21,25-01-2026 19:38,299,Wallet,captured,3
TXN100484,231,32,21-01-2026 08:50,299,UPI,captured,29
TXN100485,222,12,12-01-2026 17:24,499,Wallet,failed,87
TXN100486,44,40,19-01-2026 21:24,499,UPI,captured,37
TXN100487,38,6,26-01-2026 07:45,49,Wallet,captured,34
TXN100488,325,10,05-01-2026 12:45,49,Netbanking,chargeback,94
TXN100489,55,6,13-01-2026 10:23,1499,Card,captured,0
TXN100490,139,7,10-01-2026 14:23,499,Card,captured,16
TXN100491,230,36,03-01-2026 05:27,99,Wallet,captured,71
TXN100492,14,6,17-01-2026 13:06,799,Card,captured,45
TXN100493,307,21,18-01-2026 02:38,799,UPI,captured,49
TXN100494,199,6,01-01-2026 09:26,49,UPI,captured,92
TXN100495,125,37,29-01-2026 17:57,149,Wallet,captured,66
TXN100496,87,9,06-01-2026 21:24,149,UPI,captured,34
TXN100497,75,5,10-01-2026 08:31,99,UPI,captured,21
TXN100498,154,31,14-01-2026 08:26,499,Wallet,captured,100
TXN100499,127,32,03-01-2026 11:16,149,Card,captured,76
TXN200000,351,7,30-01-2026 06:00,1999,Card,chargeback,79
TXN200001,352,40,11-01-2026 12:00,4999,Card,chargeback,95
TXN200002,353,28,21-01-2026 14:00,1999,Card,chargeback,79
TXN200003,354,13,21-01-2026 19:00,4999,Card,chargeback,80
TXN200004,355,19,16-01-2026 12:00,4999,Card,chargeback,100
TXN200005,356,25,29-01-2026 07:00,2999,Card,chargeback,96
TXN200006,357,37,23-01-2026 11:00,1999,Card,chargeback,88
TXN200007,358,36,28-01-2026 05:00,999,Card,chargeback,100
TXN200008,359,29,25-01-2026 22:00,2999,Card,chargeback,96
TXN200009,360,32,13-01-2026 13:00,1999,Card,chargeback,90
TXN200010,361,10,20-01-2026 07:00,4999,Card,chargeback,95
TXN200011,362,39,23-01-2026 02:00,4999,Card,chargeback,88
TXN200012,363,27,23-01-2026 17:00,999,Card,chargeback,95
TXN200013,364,39,22-01-2026 22:00,999,Card,chargeback,73
TXN200014,365,23,18-01-2026 21:00,1999,Card,chargeback,90
TXN300000,314,26,02-01-2026 18:00,399,Card,failed,87
TXN300001,314,7,02-01-2026 18:01,299,Card,failed,66
TXN300002,314,17,02-01-2026 18:02,299,Card,failed,92
TXN300003,314,34,02-01-2026 18:03,499,Card,captured,74
TXN300004,229,30,12-01-2026 12:00,499,Card,failed,92
TXN300005,229,10,12-01-2026 12:01,399,Card,failed,61
TXN300006,229,31,12-01-2026 12:02,299,Card,failed,78
TXN300007,229,27,12-01-2026 12:03,299,Card,captured,67
TXN300008,73,22,12-01-2026 09:00,399,Card,failed,73
TXN300009,73,34,12-01-2026 09:01,399,Card,failed,82
TXN300010,73,31,12-01-2026 09:02,299,Card,failed,88
TXN300011,73,29,12-01-2026 09:03,399,Card,captured,64
TXN300012,154,8,02-01-2026 22:00,299,Card,failed,81
TXN300013,154,7,02-01-2026 22:01,499,Card,failed,70
TXN300014,154,16,02-01-2026 22:02,499,Card,failed,71
TXN300015,154,36,02-01-2026 22:03,299,Card,captured,81
TXN300016,287,15,14-01-2026 14:00,399,Card,failed,71
TXN300017,287,12,14-01-2026 14:01,499,Card,failed,87
TXN300018,287,26,14-01-2026 14:02,299,Card,failed,72
TXN300019,287,29,14-01-2026 14:03,499,Card,captured,87
TXN300020,200,14,01-01-2026 22:00,299,Card,failed,77
TXN300021,200,5,01-01-2026 22:01,499,Card,failed,66
TXN300022,200,35,01-01-2026 22:02,299,Card,failed,83
TXN300023,200,21,01-01-2026 22:03,299,Card,captured,89
TXN300024,59,32,09-01-2026 21:00,499,Card,failed,80
TXN300025,59,39,09-01-2026 21:01,399,Card,failed,85
TXN300026,59,38,09-01-2026 21:02,299,Card,failed,82
TXN300027,59,23,09-01-2026 21:03,399,Card,captured,71
TXN300028,345,40,23-01-2026 09:00,499,Card,failed,65
TXN300029,345,9,23-01-2026 09:01,399,Card,failed,67
TXN300030,345,16,23-01-2026 09:02,399,Card,failed,67
TXN300031,345,12,23-01-2026 09:03,399,Card,captured,69
